,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name,pr_merge_status
59,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-25 04:30:51,xiang9156,merged
60,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-22 00:00:51,ssabogal,merged
61,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-18 19:03:50,kcratie,merged
62,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-03-01 15:26:54,Xarthisius,merged
63,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-17 21:00:45,kcratie,merged
64,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-17 01:36:38,kcratie,merged
65,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-09 20:22:19,birdyhuang,merged
66,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-22 19:02:22,neutrinoceros,merged
67,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-05 22:29:25,ssabogal,merged
68,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-05 21:10:30,kcratie,merged
69,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-05 20:38:27,birdyhuang,not merged
70,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-21 17:44:46,neutrinoceros,merged
71,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-21 14:26:14,matthewturk,merged
72,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-04 23:11:12,ssabogal,merged
73,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-21 13:26:03,zingale,merged
74,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-21 11:22:29,neutrinoceros,merged
75,26091,root_numpy,2023-02-28 16:46:00,pull_request_created,2017-08-03 03:53:41,ndawe,merged
76,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-04 22:24:22,smahesul,merged
77,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-04 20:12:02,kcratie,merged
78,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-11-02 22:06:08,kcratie,merged
79,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-19 12:52:21,neutrinoceros,merged
80,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-10-30 03:42:12,ssabogal,merged
81,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-10-27 17:43:45,kyuhojeong,not merged
82,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-10-22 23:40:11,ssabogal,not merged
